iso3,country_name,income_level,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share
CIV,Cote d'Ivoire,Lower middle income,23822.0,6922.999999999999,2471.0,4111.0,341.0,0.2906137184115523,0.10372764671312232,0.1725715724960121,0.014314499202417933
CMR,Cameroon,Lower middle income,23822.0,5734.0,2114.0,3345.9999999999995,274.0,0.24070187221895728,0.08874149945428596,0.14045839979850555,0.01150197296616573
COD,"Congo, Dem. Rep.",Low income,23822.0,2453.9999999999995,1201.0,1185.0,68.0,0.10301402065317772,0.050415582234908905,0.04974393417849047,0.0028545042397783564
COG,"Congo, Rep.",Lower middle income,23822.0,4617.999999999999,1848.9999999999998,2410.0,359.0,0.19385442028377126,0.07761732851985559,0.10116698849802704,0.015070103265888674
COL,Colombia,Upper middle income,23822.0,11705.999999999998,4071.9999999999995,6735.999999999999,897.9999999999999,0.4913945092771387,0.17093443035849212,0.28276383175216185,0.03769624716648476
CRI,Costa Rica,High income,23822.0,14254.999999999998,4487.999999999999,7207.999999999999,2558.9999999999995,0.5983964402653009,0.18839727982537147,0.3025774494165057,0.10742171102342371
CUB,Cuba,Upper middle income,23822.0,8207.0,2665.0,4542.0,999.9999999999999,0.34451347493913187,0.11187137939719587,0.19066409201578374,0.04197800352615229
CZE,Czechia,High income,23822.0,13234.0,4891.0,7143.999999999999,1198.9999999999998,0.5555368986650995,0.2053144152464109,0.29989085719083197,0.05033162622785659
DEU,Germany,High income,23821.0,13756.999999999998,4858.0,7491.0,1408.0,0.5775156374627429,0.20393770202762268,0.31447042525502705,0.05910751018009319
DNK,Denmark,High income,23822.0,14144.999999999998,5291.0,7471.999999999999,1381.9999999999998,0.5937788598774242,0.2221056166568718,0.3136596423474099,0.05801360087314247
DOM,Dominican Republic,Upper middle income,23822.0,11836.999999999998,3721.0,6286.999999999999,1828.9999999999998,0.49689362773906465,0.1562001511208127,0.26391570816891946,0.07677776844933254
DZA,Algeria,Upper middle income,23822.0,10344.0,3570.0,6004.999999999999,768.9999999999999,0.43422046847451934,0.1498614725883637,0.2520779111745445,0.03228108471161111
ECU,Ecuador,Upper middle income,23822.0,12278.0,3725.9999999999995,6530.0,2021.9999999999998,0.5154059272940978,0.15641004113844342,0.27411636302577447,0.08487952312987994
EGY,"Egypt, Arab Rep.",Lower middle income,23822.0,11083.0,3904.9999999999995,6318.999999999999,859.0,0.4652422130803459,0.16392410376962468,0.2652590042817563,0.036059105028964825
ESP,Spain,High income,23820.0,13337.999999999998,4875.0,7215.0,1248.0,0.5599496221662468,0.20465994962216624,0.30289672544080604,0.05239294710327456
ETH,Ethiopia,Not classified,23822.0,5148.999999999999,1953.9999999999998,2957.9999999999995,237.0,0.21614474015615814,0.08202501889010158,0.12417093443035847,0.009948786835698093
FIN,Finland,High income,23822.0,13927.0,5263.0,7287.999999999999,1376.0,0.584627655108723,0.22093023255813954,0.3059356896985979,0.05776173285198556
FRA,France,High income,23821.0,13599.999999999998,4879.999999999999,7325.999999999999,1393.9999999999998,0.5709248142395364,0.2048612568741866,0.30754376390579735,0.05851979345955249
GBR,United Kingdom,High income,23822.0,13652.999999999998,5028.0,7328.999999999999,1296.0,0.5731256821425572,0.21106540172949376,0.30765678784317013,0.05440349256989337
GHA,Ghana,Lower middle income,23822.0,6779.0,2162.9999999999995,4254.0,362.0,0.28456888590378643,0.0907984216270674,0.17857442700025186,0.015196037276467131
