iso3,ilostat_year,country_name,income_level,matched_weight,employment_weighted_occ_exposed_share,employment_weighted_occ_sub_only_share,employment_weighted_occ_both_share,employment_weighted_occ_aug_only_share,transport_weighted_occ_exposed_share,transport_weighted_occ_sub_only_share,transport_weighted_occ_both_share,transport_weighted_occ_aug_only_share,employment_weighting_adjustment
CRI,2025,Costa Rica,High income,1.0,0.5759402756876245,0.25136148831325816,0.2591438019392205,0.06543498543514582,0.5983964402653009,0.18839727982537147,0.3025774494165057,0.10742171102342371,-0.022456164577676407
CZE,2024,Czechia,High income,0.9990896338043792,0.5662478178010725,0.25061484684955226,0.2777737423333155,0.03785922861820471,0.5555368986650995,0.2053144152464109,0.29989085719083197,0.05033162622785659,0.010710919135972996
DNK,2024,Denmark,High income,0.9956500378156001,0.5929080554643872,0.24604762989333,0.2967890752325421,0.050071350338514994,0.5937788598774242,0.2221056166568718,0.3136596423474099,0.05801360087314247,-0.0008708044130369963
DOM,2025,Dominican Republic,Upper middle income,0.9918872767464126,0.4605556198469819,0.20633934531209497,0.2151312365235361,0.03908503801135076,0.49689362773906465,0.1562001511208127,0.26391570816891946,0.07677776844933254,-0.036338007892082747
ECU,2025,Ecuador,Upper middle income,0.9962368115176601,0.44071064403230836,0.17538806893554681,0.21802379834537272,0.047298776751388806,0.5154059272940978,0.15641004113844342,0.27411636302577447,0.08487952312987994,-0.07469528326178948
EGY,2024,"Egypt, Arab Rep.",Lower middle income,1.0,0.449548611495132,0.19291543127358515,0.23395559165899432,0.02267758856255251,0.4652422130803459,0.16392410376962468,0.2652590042817563,0.036059105028964825,-0.015693601585213934
ESP,2025,Spain,High income,0.9956933300325687,0.5711757881127079,0.25660729616955497,0.27638039716983726,0.03818809477331559,0.5599496221662468,0.20465994962216624,0.30289672544080604,0.05239294710327456,0.011226165946461086
ETH,2021,Ethiopia,Not classified,0.9980874663388605,0.14349873506355448,0.06548826426980232,0.075880187906917,0.0021302828868351507,0.21614474015615814,0.08202501889010158,0.12417093443035847,0.009948786835698093,-0.07264600509260366
FIN,2024,Finland,High income,0.9963383857423622,0.5810932670513155,0.24005407167940723,0.2921374216922829,0.04890177367962529,0.584627655108723,0.22093023255813954,0.3059356896985979,0.05776173285198556,-0.003534388057407578
GBR,2025,United Kingdom,High income,0.9991140851079722,0.5903046602531946,0.23345750252771594,0.30539591293133656,0.051451244794142134,0.5731256821425572,0.21106540172949376,0.30765678784317013,0.05440349256989337,0.0171789781106374
GHA,2024,Ghana,Lower middle income,0.9987046814277742,0.21343644538237178,0.07796679869907067,0.12411677232937095,0.011352874353930151,0.28456888590378643,0.0907984216270674,0.17857442700025186,0.015196037276467131,-0.07113244052141465
