iso3,country_name,income_level,AI_PI,DI,HCLMP,IEI,RE,ai_material_share,llm_like_share,mean_exposure,aipi_predicted_atlas,residual
CAN,Canada,High income,0.71315135061741,0.17194965481758,0.17478312551975,0.16084165871143,0.20557691156864,0.43676509710029265,0.25708965150305935,1.553338653897313,0.4723108543875963,-0.035545757287303636
CHE,Switzerland,High income,0.75701242685318,0.18979547917843,0.18783612549305,0.17185404896736,0.20752677321434,0.43045652867936574,0.25236777695009044,1.5434181121634565,0.5078860161569125,-0.0774294874775468
CHL,Chile,High income,0.58575116842985,0.14755855500698,0.14446820318699,0.12424724549055,0.16947716474533,0.3901154439538224,0.2487099005160398,1.4683726126509549,0.36897818497474244,0.021137258979079976
CHN,China,Upper middle income,0.63545440137386,0.19010217487812,0.14991983771324,0.14708356559277,0.14834882318974,0.47808044264737176,0.25931049159395614,1.6513087891040648,0.40929184583742645,0.06878859680994531
CIV,Cote d'Ivoire,Lower middle income,0.36550394445658,0.081721000373363,0.10363693535328,0.080535598099232,0.099610410630703,0.14491674203330318,0.15454593818162474,0.8720008511996595,0.19033845940179916,-0.045421717368495984
CMR,Cameroon,Lower middle income,0.34128637611866,0.067646443843842,0.10462947934866,0.091108001768589,0.07790245115757,0.10991115603553758,0.13550034579986167,0.7526732989306805,0.17069589735772506,-0.060784741322187474
COD,"Congo, Dem. Rep.",Low income,0.24747366458178,0.037818163633347,0.07290817797184,0.074247322976589,0.0625,0.03920838431664627,0.06575517369793052,0.39830824067670373,0.09460559872932632,-0.05539721441268005
COG,"Congo, Rep.",Lower middle income,0.276611905545,0.045607540756464,0.081752292811871,0.096450380980968,0.052801690995693,0.08527956588817365,0.11852955258817896,0.6204713518114593,0.11823925583267143,-0.032959689944497786
COL,Colombia,Upper middle income,0.48949392139912,0.11693494021893,0.13145245611668,0.10329802334309,0.13780850172043,0.34462946214821516,0.24035750385699844,1.3573974570410172,0.2909051546601197,0.05372430748809548
CRI,Costa Rica,High income,0.54015178233385,0.11969991773367,0.13781125843525,0.13248217105865,0.15015843510628,0.4489546204181518,0.27770388891844444,1.4604458158216738,0.3319931021594751,0.11696151825867673
CZE,Czechia,High income,0.6462222635746,0.169324234128,0.15549390017986,0.15890319645405,0.16250093281269,0.4135234345906262,0.25035909985636007,1.512688194924722,0.41802552208471894,-0.004502087494092755
DEU,Germany,High income,0.75332881510258,0.18530781567097,0.1847433000803,0.17900575697422,0.20427194237709,0.4446158757182379,0.25670355394764843,1.5644286018301767,0.5048982854587752,-0.060282409740537335
