spec,outcome,variable,mean_abs_shap,mean_abs_shap_sd,mean_shap,median_shap,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,mean_abs_shap_ci,direction_flag,mean_abs_shap_share
lean90,augmentation_share,barro_lee_years_schooling_15_64,0.002172955655541201,0.0002182587280337401,3.899384561973372e-05,0.0015008565208792467,0.0067776476181070746,0.00035665373342157707,1.0,0.0,0.0004277871069461306,positive,0.1356349674584104
lean90,augmentation_share,goods_trade_openness,0.00046538055747872545,4.5133768176201864e-05,-3.2886755778298604e-05,8.833876689856002e-05,0.001335274419149997,0.00017713857237500695,1.0,0.0,8.846218562535566e-05,positive,0.02904885638528253
lean90,augmentation_share,internet_users_pct,0.003022538437736773,9.87931593521976e-05,0.00045530793178882536,0.0020850113431805867,0.005420021830880906,0.00021808425141331633,1.0,0.0,0.0001936345923303073,positive,0.18866556323815808
lean90,augmentation_share,log_gdp_per_capita,0.005229803559967151,0.00025633217709763735,-0.00032770155299592966,0.002018257054299557,0.01792176828461985,0.0003054299201229677,1.0,0.0,0.0005024110671113692,positive,0.32644211300913656
lean90,augmentation_share,wgi_government_effectiveness_score,0.0022337644165197025,6.806677534841372e-05,0.00024937760258683493,0.0011137451990541264,0.005910668528654519,0.0004743464339767367,1.0,0.0,0.0001334108796828909,positive,0.13943062444546062
lean90,augmentation_share,wgi_regulatory_quality_score,0.0028961728250917187,0.00015323719615943846,-0.0003065650102234255,-0.0005044137123975547,0.008891825004360471,0.0005192521476070428,1.0,0.0,0.00030034490447249936,positive,0.18077787546355176
lean90,substitution_within_exposed,barro_lee_years_schooling_15_64,0.0032695718622483224,0.00015869399348204143,-0.00027437792278609127,-0.0016109861239287909,-0.014644472397427288,0.0010748212151799877,0.0,1.0,0.0003110402272248012,negative,0.14502614972393138
lean90,substitution_within_exposed,goods_trade_openness,0.0009502366054763886,7.965117910997272e-05,-4.274713036063642e-05,0.00021816238107277673,-0.002094009000134615,0.0004639145065153257,0.0,1.0,0.00015611631105554654,negative,0.042148991374122764
lean90,substitution_within_exposed,internet_users_pct,0.004537051112792748,0.00013198568216231358,6.315957033873362e-05,0.0005070265056650324,-0.006345704682484184,0.001156849489385228,0.0,1.0,0.0002586919370381346,negative,0.20124685485167548
lean90,substitution_within_exposed,log_gdp_per_capita,0.006262506970802091,0.00024283285503533383,0.00021747107489476593,-0.0008477279401050133,-0.03094022706490778,0.0012888121788734528,0.0,1.0,0.0004759523958692543,negative,0.2777817132822293
