spec,outcome,variable,permutation_importance_mean,permutation_importance_sd,baseline_r2_mean,baseline_r2_sd,permutation_importance_ci,permutation_importance_share_positive,median_ale_delta,ale_delta_sd,positive_ale_share,negative_ale_share,direction_flag
lean90,both_within_exposed,wgi_regulatory_quality_score,0.07839710028618169,0.01023092902121632,0.6472873088202813,0.0,0.020052620881583987,0.10444639178706666,0.0033307654530435843,0.0006760412590798646,1.0,0.0,positive
lean90,both_within_exposed,internet_users_pct,0.09391573759872422,0.013096952773748057,0.6472873088202813,0.0,0.025670027436546193,0.1251214635286283,0.007842170016218883,0.0006588917234401092,1.0,0.0,positive
lean90,both_within_exposed,goods_trade_openness,0.047165038958725786,0.007284347164187153,0.6472873088202813,0.0,0.014277320441806818,0.06283673911091879,-0.0022702478296235695,0.0003125656291301938,0.0,1.0,negative
lean90,augmentation_within_exposed,log_gdp_per_capita,0.1780259354058958,0.03745186240634876,0.5913410398248367,0.0,0.07340565031644357,0.2638570877162122,0.01910689292690588,0.00039603807009503316,1.0,0.0,positive
lean90,augmentation_within_exposed,barro_lee_years_schooling_15_64,0.0714331186902454,0.012948649137722144,0.5913410398248367,0.0,0.0253793523099354,0.10587297081810738,0.005522880200655293,0.0009444351746648815,1.0,0.0,positive
lean90,augmentation_within_exposed,wgi_government_effectiveness_score,0.12349357540151615,0.0215954748239147,0.5913410398248367,0.0,0.04232713065487281,0.18303319166847293,0.01037136471372793,0.000723649919169879,1.0,0.0,positive
lean90,augmentation_within_exposed,wgi_regulatory_quality_score,0.15559145222468315,0.021514912939850608,0.5913410398248367,0.0,0.04216922936210719,0.23060632915051907,0.011920330848837164,0.0009251523170103822,1.0,0.0,positive
lean90,augmentation_within_exposed,internet_users_pct,0.10847730432966239,0.016410415438442003,0.5913410398248367,0.0,0.032164414259346324,0.16077716731818426,-0.0015966435420023796,0.000804825320910403,0.0,1.0,negative
lean90,augmentation_within_exposed,goods_trade_openness,0.037684519886628284,0.005861092507724394,0.5913410398248367,0.0,0.011487741315139811,0.05585325332850418,0.003860011772611871,0.0006922423523997551,1.0,0.0,positive
minimal118,share_exposed,log_gdp_per_capita,0.35903546100280187,0.030535550788521812,0.9465281297299002,0.0,0.05984967954550275,0.5303409205723806,0.17816647760897567,0.004482221722978009,1.0,0.0,positive
minimal118,share_exposed,wgi_government_effectiveness_score,0.08100322125056363,0.010206009550278687,0.9465281297299002,0.0,0.020003778718546226,0.1196520332765038,0.08374253364677843,0.0031727263686826108,1.0,0.0,positive
minimal118,share_exposed,wgi_regulatory_quality_score,0.04119205434269812,0.007141428040850984,0.9465281297299002,0.0,0.013997198960067929,0.060845889593628646,0.05674600117110795,0.0024534810479860734,1.0,0.0,positive
minimal118,share_exposed,internet_users_pct,0.1914572203085918,0.02063114220323909,0.9465281297299002,0.0,0.04043703871834862,0.2828066012897129,0.1297742904057979,0.002362796597364607,1.0,0.0,positive
minimal118,share_exposed,goods_trade_openness,0.004301969905642313,0.000784700745120476,0.9465281297299002,0.0,0.001538013460436133,0.0063545552677740005,0.0003299072327083506,0.0002524737282797565,0.8,0.2,positive
minimal118,substitution_share,log_gdp_per_capita,0.29166634186778273,0.02483948679425354,0.9359699332485273,0.0,0.04868539411673693,0.4339268567986348,0.058155802289586424,0.0007578830056228661,1.0,0.0,positive
minimal118,substitution_share,wgi_government_effectiveness_score,0.06634542709889303,0.008115581707450104,0.9359699332485273,0.0,0.015906540146602203,0.0987054675545531,0.028144620050613193,0.0007773775557226553,1.0,0.0,positive
minimal118,substitution_share,wgi_regulatory_quality_score,0.04119640524195423,0.006804621487187796,0.9359699332485273,0.0,0.013337058114888079,0.06128998815416144,0.0173216882270965,0.001016737821968042,1.0,0.0,positive
minimal118,substitution_share,internet_users_pct,0.26713563792227357,0.02696289066036021,0.9359699332485273,0.0,0.05284726569430601,0.3974312804151315,0.05058000469767676,0.0008589588142159692,1.0,0.0,positive
minimal118,substitution_share,goods_trade_openness,0.0058117304404829455,0.0011331234942321615,0.9359699332485273,0.0,0.0022209220486950365,0.008646407077519127,-0.0014524433258109113,0.00031885637027339995,0.0,1.0,negative
minimal118,both_share,log_gdp_per_capita,0.3402616579896698,0.029768913221048205,0.9461500766955399,0.0,0.05834706991325448,0.5010007838734213,0.09312278139774616,0.002481473308288243,1.0,0.0,positive
minimal118,both_share,wgi_government_effectiveness_score,0.10230558699693526,0.012147347365180701,0.9461500766955399,0.0,0.023808800835754172,0.150634601567865,0.05006156606882868,0.0014000659358958524,1.0,0.0,positive
minimal118,both_share,wgi_regulatory_quality_score,0.04319897389650278,0.007363954838595743,0.9461500766955399,0.0,0.014433351483647655,0.06360610805385666,0.03221148454037187,0.0010304043793556677,1.0,0.0,positive
